"uuid","age_range","education_fields","education_level","employment","employment_fields","italian_knowledge"
"66a33a16-7bf3-4240-810c-042e18785dce","25-34","ENGINEERING","MASTER","EMPLOYEE","IT","M"
"768ecc0b-30fa-42ff-bdaa-760d38ffcdb7","18-24","ENGINEERING","MASTER","STUDENT","IT","M"
"a8f15cb2-1209-402b-8811-cf8c8868dadc","25-34","ENGINEERING","PHD","EMPLOYEE","IT","M"
"ac7e36bd-7813-4809-931b-15d76b077655","25-34","ENGINEERING","MASTER","EMPLOYEE","IT","M"
