"id","creation_date","participant_group","participant_type","submission_date","answers_d1","answers_d2","demographic_info"
"cGlsb3RfcGFydGVjaXBhbnRlXzE=","2024-06-26 19:46:50.921525","C","REGULAR","2024-06-26 20:02:24.076258","c739006a-8253-4f0e-b9b6-4b04c634cc7c","71a3ac08-7168-4d16-9e87-64dc0f48d543","a8f15cb2-1209-402b-8811-cf8c8868dadc"
"cGlsb3RfcGFydGVjaXBhbnRlXzI=","2024-06-26 19:47:07.712534","D","REGULAR","2024-06-26 19:59:43.827209","bf02590a-1275-4dda-94f4-c3e0f443c2ed","24fb4e04-324b-4b4b-af2d-5bb7742f6792","768ecc0b-30fa-42ff-bdaa-760d38ffcdb7"
"cGlsb3RfcGFydGVjaXBhbnRlXzM=","2024-06-26 19:45:54.642664","A","REGULAR","2024-06-26 20:18:29.838274","440f6438-877f-41e9-90e5-8e0f553ea93b","bfea6c6f-8536-4df9-bedd-9f90a7a6d743","66a33a16-7bf3-4240-810c-042e18785dce"
"cGlsb3RfcGFydGVjaXBhbnRlXzQ=","2024-06-26 19:46:49.587677","B","REGULAR","2024-06-26 20:07:57.630823","15820e4a-d1a0-4a0f-ace7-0fc60a1f62ab","a21ce22c-1d12-4787-90bd-46d3732d291e","ac7e36bd-7813-4809-931b-15d76b077655"
