"id","event","timestamp","participant"
"67","d2 | leave | text","1719431253494","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"68","d2 | visible | q2","1719431210703","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"69","d2 | invisible | q3","1719431239428","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"70","d2 | invisible | q5","1719431239361","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"71","d2 | invisible | q3","1719431260229","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"72","d2 | hover | text","1719431234376","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"73","d2 | leave | text","1719431226559","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"74","d2 | hover | text","1719431210925","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"75","d2 | hover | q1","1719431247393","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"76","d2 | hover | q1","1719431244860","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"77","d2 | hover | text","1719431227293","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"78","d2 | visible | q2","1719431239295","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"79","d2 | invisible | q2","1719431237594","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"80","d2 | leave | text","1719431242810","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"81","d2 | hover | text","1719431260296","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"82","d2 | hover | text","1719431247593","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"83","d2 | leave | text","1719431244610","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"84","d2 | invisible | q3","1719431210704","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"85","d2 | invisible | text","1719431237544","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"86","d2 | leave | q1","1719431247293","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"87","d2 | visible | q4","1719431237527","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"88","d2 | invisible | q6","1719431239328","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"89","d2 | invisible | q5","1719431210704","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"90","d2 | visible | q5","1719431237560","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"91","d2 | visible | q3","1719431237494","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"92","d2 | leave | q1","1719431247460","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"93","d2 | hover | q1","1719431243143","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"94","d2 | visible | q3","1719431244928","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"95","d2 | invisible | q1","1719431237577","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"96","survey | load","1719431210677","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"97","d2 | leave | text","1719431228193","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"98","d2 | leave | q1","1719431257860","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"99","d2 | leave | q1","1719431243193","cGlsb3RfcGFydGVjaXBhbnRlXzE="
